Parsed 268 entries.

Verdict counts: {'EFFECTIVE': 167, 'BEHAVIOR_FAIL': 52, 'EXCEPTION': 23, 'REASONABLE': 26}
  BEHAVIOR_FAIL      n= 52 region_size: min=1 max=8 mean=3.62 median=3.0
  EFFECTIVE          n=167 region_size: min=1 max=10 mean=4.79 median=4
  EXCEPTION          n= 23 region_size: min=2 max=12 mean=4.04 median=3
  REASONABLE         n= 26 region_size: min=1 max=9 mean=4.19 median=4.0

--- All entries sorted by region_size DESC ---
  #  verdict              rsz       SER     beh  host -> donor
  1  EFFECTIVE              6    0.7500   0.922  feedback_sic -> weight_apply_wrap
  2  EXCEPTION              6    0.5625   0.000  algo_46f9662c -> algo_34407082
  2  EFFECTIVE              6    0.7500   0.484  em -> algo_ab0a9127
  2  EFFECTIVE              6    0.5000   0.781  algo_70ea3ebc -> algo_abab81e0
  3  EFFECTIVE              6    0.3750   0.336  richardson -> reactive_tabu
  4  EFFECTIVE              6    0.3750   0.336  richardson -> importance_sampling
  5  EFFECTIVE              6    0.4375   0.500  soft_sic -> bicgstab
  8  EFFECTIVE              6    0.6875   1.000  diag_dominant -> svd_detect
 24  EXCEPTION              6    0.3750   0.000  newton -> reactive_tabu
 27  BEHAVIOR_FAIL          6    0.3750   0.000  mmse_init_iter -> particle_filter
 28  BEHAVIOR_FAIL          6    0.3750   0.000  residual_net -> mf_refine
 29  REASONABLE             6    0.3750   0.023  warm_start -> proximal
 32  REASONABLE             6    0.3750   0.289  turbo_linear -> precond_rich
 37  REASONABLE             6    0.5000   0.180  bp -> diag_dominant
 49  BEHAVIOR_FAIL          6    0.6250   0.000  penalty -> scaled_detect
  3  EFFECTIVE              6    0.3750   0.336  richardson -> em
  4  EFFECTIVE              6    0.3750   0.336  richardson -> ep
  6  EFFECTIVE              6    0.3750   0.812  feedback_sic -> parallel
  8  EFFECTIVE              6    0.6875   0.789  mh -> ordering_detect
 12  EFFECTIVE              6    0.9375   0.953  importance_sampling -> lmmse
 32  BEHAVIOR_FAIL          6    0.3750   0.000  nested_iter -> em
 49  REASONABLE             6    0.6250   0.383  reactive_tabu -> precond_rich
